"","Chromosome","Start","End","Score","Strand","Phase","gene_short_name","Note","Cluster"
"10796","chr2",33727407,33729223,".","+",".","Medtr2g079990","NAC transcription factor-like protein","cluster1"
"11352","chr2",37843606,37846116,".","+",".","Medtr2g089510","cytochrome b6-F complex iron-sulfur subunit","cluster1"
"11430","chr2",38321037,38323955,".","+",".","Medtr2g090230","regulator of Vps4 activity in the MVB pathway protein","cluster1"
"11675","chr2",40255783,40256708,".","+",".","Medtr2g094410","senescence regulator","cluster1"
"12133","chr2",43604716,43612483,".","-",".","Medtr2g101420","DUF3754 family protein","cluster1"
"12161","chr2",43807820,43809677,".","+",".","Medtr2g101820","photosystem I reaction center subunit VI","cluster1"
"12223","chr2",44208769,44216038,".","-",".","Medtr2g102640","drug resistance transporter-like ABC domain protein","cluster1"
"12224","chr2",44216727,44217625,".","-",".","Medtr2g102650","hypothetical protein","cluster1"
"12379","chr2",45231710,45234196,".","-",".","Medtr2g104940","major intrinsic protein (MIP) family transporter","cluster1"
"12620","chr3",1355011,1357152,".","+",".","Medtr3g008170","sugar porter (SP) family MFS transporter","cluster1"
"12719","chr3",2257987,2258475,".","-",".","Medtr3g010000","photosystem I reaction center subunit V","cluster1"
"12892","chr3",3596613,3602508,".","+",".","Medtr3g013430","choline/ethanolamine kinase","cluster1"
"13378","chr3",7928987,7931894,".","-",".","Medtr3g025970","ninja-family protein AFP1","cluster1"
"13405","chr3",8137222,8143447,".","+",".","Medtr3g026400","glycoside hydrolase family 1 protein","cluster1"
"13728","chr3",10970646,10971369,".","+",".","Medtr3g034030","disease resistance-responsive dirigent domain protein","cluster1"
"13752","chr3",11246308,11248273,".","-",".","Medtr3g034660","late embryogenesis abundant D-like protein","cluster1"
"13792","chr3",11610138,11613272,".","+",".","Medtr3g435460","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"14231","chr3",17103225,17105971,".","+",".","Medtr3g449930","oxygen-evolving enhancer protein 2-1","cluster1"
"14957","chr3",24429209,24434376,".","+",".","Medtr3g461480","transmembrane amino acid transporter family protein","cluster1"
"15124","chr3",25647054,25648082,".","+",".","Medtr3g463910","transmembrane protein putative","cluster1"
"15429","chr3",28159408,28160450,".","+",".","Medtr3g062390","hypothetical protein","cluster1"
"15430","chr3",28161091,28163638,".","+",".","Medtr3g062400","hypothetical protein","cluster1"
"15617","chr3",29570010,29573532,".","+",".","Medtr3g065440","myb transcription factor","cluster1"
"15764","chr3",30746762,30750595,".","+",".","Medtr3g068125","transferring glycosyl group transferase","cluster1"
"15777","chr3",30835692,30837501,".","+",".","Medtr3g068200","protein phosphatase 2C-like protein","cluster1"
"15876","chr3",31533674,31536436,".","-",".","Medtr3g070340","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"15997","chr3",32430373,32432245,".","-",".","Medtr3g072210","peroxidase family protein","cluster1"
"15999","chr3",32450521,32451386,".","-",".","Medtr3g072260","peroxidase family protein","cluster1"
"16488","chr3",36230146,36231563,".","-",".","Medtr3g080100","homeobox associated leucine zipper protein","cluster1"
"16826","chr3",38418515,38419164,".","-",".","Medtr3g085020","transmembrane protein putative","cluster1"
"17114","chr3",40420823,40423155,".","-",".","Medtr3g088675","chalcone and stilbene synthase family protein","cluster1"
"17333","chr3",42215243,42215793,".","+",".","Medtr3g092400","transmembrane protein putative","cluster1"
"17533","chr3",43652898,43654137,".","-",".","Medtr3g095540","photosystem I reaction center subunit N","cluster1"
"17596","chr3",44061980,44063892,".","-",".","Medtr3g096400","NAC transcription factor-like protein","cluster1"
"17774","chr3",45385702,45386970,".","-",".","Medtr3g099030","heavy-metal-associated domain protein","cluster1"
"17935","chr3",46613238,46614314,".","-",".","Medtr3g101300","plant-specific domain TIGR01570 family protein","cluster1"
"18200","chr3",48539884,48542852,".","-",".","Medtr3g105290","alpha/beta fold hydrolase","cluster1"
"18311","chr3",49381656,49382979,".","+",".","Medtr3g106850","auxin-responsive AUX/IAA family protein","cluster1"
"18337","chr3",49546235,49547475,".","-",".","Medtr3g107397","chaperon protein P13.9 putative","cluster1"
"18585","chr3",51237707,51238569,".","+",".","Medtr3g110205","AP2 domain class transcription factor","cluster1"
"18872","chr3",53474287,53479272,".","+",".","Medtr3g114530","nucleoredoxin putative","cluster1"
"18986","chr3",54465960,54469806,".","+",".","Medtr3g116440","specific tissue protein","cluster1"
"19164","chr4",236312,240407,".","-",".","Medtr4g005390","plastid lipid-associated protein","cluster1"
"19490","chr4",2571660,2573651,".","+",".","Medtr4g011020","lactoylglutathione lyase/glyoxalase I family protein","cluster1"
"19687","chr4",4110878,4113850,".","+",".","Medtr4g014540","ferritin","cluster1"
"19758","chr4",4671256,4673903,".","-",".","Medtr4g015570","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"19997","chr4",6460434,6473995,".","+",".","Medtr4g020110","delta-1-pyrroline-5-carboxylate synthetase","cluster1"
"20473","chr4",10333500,10334073,".","+",".","Medtr4g029730","hypothetical protein","cluster1"
"20848","chr4",13784129,13786963,".","-",".","Medtr4g037465","F-box protein interaction domain protein","cluster1"
"20850","chr4",13800984,13801668,".","-",".","Medtr4g037505","photosystem II 5 kDa protein","cluster1"
"20957","chr4",15033941,15037976,".","+",".","Medtr4g037690","transmembrane amino acid transporter family protein","cluster1"
"21104","chr4",16882931,16887365,".","-",".","Medtr4g047870","septum-promoting GTP-binding-like protein","cluster1"
"21361","chr4",18978807,18981076,".","-",".","Medtr4g052420","photosystem I subunit O","cluster1"
"21445","chr4",19625569,19633620,".","-",".","Medtr4g054150","fatty acid hydroxylase superfamily protein","cluster1"
"21475","chr4",19957311,19963411,".","+",".","Medtr4g054960","MAR-binding filament-like protein putative","cluster1"
"21489","chr4",20063940,20065541,".","-",".","Medtr4g055170","HXXXD-type acyl-transferase family protein","cluster1"
"21622","chr4",21193094,21196361,".","+",".","Medtr4g057670","fructose-bisphosphate aldolase class I","cluster1"
"22111","chr4",24959921,24968304,".","-",".","Medtr4g066170","linoleate 13S-lipoxygenase 2-1 related protein","cluster1"
"22452","chr4",27428243,27430477,".","+",".","Medtr4g072320","aldo/keto reductase family oxidoreductase","cluster1"
"22459","chr4",27454555,27457529,".","+",".","Medtr4g072410","60S ribosomal L35-like protein","cluster1"
"23147","chr4",32270714,32272250,".","-",".","Medtr4g082990","UDP-glucose 6-dehydrogenase family protein","cluster1"
"23713","chr4",36566570,36568621,".","-",".","Medtr4g092110","(2R)-phospho-3-sulfolactate synthase ComA","cluster1"
"23970","chr4",38356454,38357760,".","+",".","Medtr4g094605","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"24083","chr4",39283313,39286264,".","+",".","Medtr4g094918","papain family cysteine protease","cluster1"
"24788","chr4",45025437,45028727,".","+",".","Medtr4g108720","MADS-box transcription factor family protein","cluster1"
"25190","chr4",48069710,48070498,".","+",".","Medtr4g116200","SAM domain protein","cluster1"
"25749","chr4",52113366,52114050,".","-",".","Medtr4g125600","ultraviolet-B-repressible protein","cluster1"
"25999","chr4",54009867,54015472,".","-",".","Medtr4g129630","fatty acid hydroxylase superfamily protein","cluster1"
"26476","chr5",782712,783685,".","+",".","Medtr5g006130","photosystem I reaction center subunit II","cluster1"
"26722","chr5",2125184,2129523,".","-",".","Medtr5g009160","UDP-D-glucose/UDP-D-galactose 4-epimerase","cluster1"
"26839","chr5",2885090,2885915,".","+",".","Medtr5g010630","histone-lysine N-methyltransferase","cluster1"
"26951","chr5",3583273,3585463,".","-",".","Medtr5g012110","thylakoid lumenal protein","cluster1"
"27209","chr5",5674775,5678726,".","-",".","Medtr5g016060","phototropic-responsive NPH3 family protein","cluster1"
"27472","chr5",7645478,7646932,".","-",".","Medtr5g020060","plant/MUD21-2 protein","cluster1"
"27622","chr5",8789171,8793126,".","+",".","Medtr5g022300","leaf ferredoxin-NADP reductase","cluster1"
"27829","chr5",10100787,10101374,".","+",".","Medtr5g024973","hypothetical protein","cluster1"
"27831","chr5",10105076,10108942,".","+",".","Medtr5g024983","transmembrane protein putative","cluster1"
"28266","chr5",13656647,13659037,".","+",".","Medtr5g031860","UDP-glucosyltransferase family protein","cluster1"
"28433","chr5",14923483,14929374,".","+",".","Medtr5g034420","metal-dependent phosphohydrolase","cluster1"
"28691","chr5",16824210,16830540,".","+",".","Medtr5g038380","peptide/nitrate transporter plant","cluster1"
"29643","chr5",25618970,25624281,".","+",".","Medtr5g061690","eukaryotic aspartyl protease family protein","cluster1"
"29672","chr5",25858725,25861851,".","+",".","Medtr5g062280","NAD(P)-binding rossmann-fold protein","cluster1"
"29732","chr5",26389005,26391646,".","-",".","Medtr5g063670","annexin D8","cluster1"
"30090","chr5",29457308,29462660,".","+",".","Medtr5g069480","zinc finger constans-like protein","cluster1"
"30568","chr5",32828390,32831868,".","-",".","Medtr5g076960","myb transcription factor","cluster1"
"31063","chr5",36410933,36414548,".","-",".","Medtr5g084410","hypothetical protein","cluster1"
"31070","chr5",36475530,36476466,".","-",".","Medtr5g084540","leguminosin group485 secreted peptide","cluster1"
"32118","chr5",43254503,43255326,".","-",".","Medtr5g098775","hypothetical protein","cluster1"
"32119","chr5",43255552,43257471,".","-",".","Medtr5g098780","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"32120","chr5",43258628,43261216,".","-",".","Medtr5g098785","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"32398","chr6",1699177,1703592,".","-",".","Medtr6g007637","bidirectional sugar transporter","cluster1"
"32585","chr6",3215314,3218009,".","-",".","Medtr6g011400","auxin efflux carrier family transporter","cluster1"
"32811","chr6",4993852,4995886,".","-",".","Medtr6g015320","malonyl-CoA:isoflavone 7-O-glucoside malonyltransferase","cluster1"
"33079","chr6",7006187,7007659,".","+",".","Medtr6g018300","ribulose bisphosphate carboxylase small chain","cluster1"
"33219","chr6",8058433,8060341,".","+",".","Medtr6g023190","hypothetical protein","cluster1"
"34237","chr6",17494177,17499421,".","-",".","Medtr6g048440","beta-carotene hydroxylase","cluster1"
"34249","chr6",17715745,17719286,".","+",".","Medtr6g048860","AAA family ATPase","cluster1"
"35120","chr6",27533593,27534403,".","-",".","Medtr6g074480","kinase domain protein","cluster1"
"35121","chr6",27538513,27539940,".","+",".","Medtr6g074500","hypothetical protein","cluster1"
"35251","chr6",29011883,29013443,".","+",".","Medtr6g080680","F-box protein interaction domain protein","cluster1"
"35396","chr6",30000087,30007922,".","+",".","Medtr6g079540","MAP kinase kinase kinase-like protein","cluster1"
"36197","chr7",1695620,1698844,".","+",".","Medtr7g007820","LRR receptor-like kinase","cluster1"
"36474","chr7",3788881,3791360,".","-",".","Medtr7g013240","UDP-glucosyltransferase family protein","cluster1"
"37863","chr7",17743625,17745384,".","+",".","Medtr7g050830","serpin-like protein","cluster1"
"38216","chr7",20548959,20555366,".","-",".","Medtr7g057170","LRR receptor-like kinase","cluster1"
"38500","chr7",22902816,22904433,".","-",".","Medtr7g062970","one helix protein OHP","cluster1"
"38593","chr7",23672903,23677199,".","-",".","Medtr7g065050","BEL1-like homeodomain protein","cluster1"
"38604","chr7",23789741,23792149,".","-",".","Medtr7g065230","glutathione S-transferase amino-terminal domain protein","cluster1"
"38745","chr7",24801371,24802389,".","-",".","Medtr7g067855","aldo/keto reductase family oxidoreductase","cluster1"
"38777","chr7",25035324,25038154,".","+",".","Medtr7g068430","hypothetical protein","cluster1"
"38781","chr7",25070510,25074421,".","-",".","Medtr7g068470","GDSL-like lipase/acylhydrolase","cluster1"
"39529","chr7",30356399,30357636,".","-",".","Medtr7g079900","photosystem I reaction center subunit XI","cluster1"
"39624","chr7",30967214,30971799,".","-",".","Medtr7g081200","peptidyl-prolyl cis-trans isomerase","cluster1"
"39820","chr7",32359808,32361765,".","-",".","Medtr7g084000","light-regulated protein putative","cluster1"
"39872","chr7",32728615,32732070,".","-",".","Medtr7g084800","glyceraldehyde-3-phosphate dehydrogenase","cluster1"
"39893","chr7",32894185,32895280,".","+",".","Medtr7g085080","ubiquitin-like Rad60 SUMO-like protein","cluster1"
"39947","chr7",33301921,33303302,".","+",".","Medtr7g085850","hypothetical protein","cluster1"
"39985","chr7",33494216,33495828,".","-",".","Medtr7g086340","dehydrin","cluster1"
"40463","chr7",36987950,36989330,".","-",".","Medtr7g093140","late embryogenesis abundant protein","cluster1"
"40870","chr7",39852234,39853569,".","-",".","Medtr7g099390","photosystem I reaction center subunit IV A","cluster1"
"40875","chr7",39933891,39938353,".","+",".","Medtr7g099540","transcription factor","cluster1"
"41175","chr7",42209365,42214139,".","+",".","Medtr7g104190","bZIP transcription factor","cluster1"
"41429","chr7",44028079,44028466,".","+",".","Medtr7g108250","monothiol glutaredoxin-S2 protein","cluster1"
"41499","chr7",44500171,44501861,".","-",".","Medtr7g108910","hypothetical protein","cluster1"
"41502","chr7",44513813,44520053,".","-",".","Medtr7g108930","sucrose synthase","cluster1"
"41540","chr7",44802210,44803012,".","-",".","Medtr7g109520","calvin cycle protein CP12-1","cluster1"
"41928","chr7",47461808,47465518,".","+",".","Medtr7g114960","HXXXD-type acyl-transferase family protein","cluster1"
"42134","chr7",48956101,48958693,".","+",".","Medtr7g117970","plant/F21F14-40 protein","cluster1"
"42184","chr8",83317,85681,".","+",".","Medtr8g005175","oxygen-evolving enhancer protein","cluster1"
"42203","chr8",280839,282802,".","+",".","Medtr8g005670","mannan endo-14-beta-mannosidase-like protein","cluster1"
"42554","chr8",2759049,2760715,".","-",".","Medtr8g010540","heavy metal transport/detoxification superfamily protein","cluster1"
"42707","chr8",3777036,3779054,".","-",".","Medtr8g012745","UDP-glucosyltransferase family protein","cluster1"
"42939","chr8",5468332,5472860,".","-",".","Medtr8g016270","endomembrane protein 70 family protein","cluster1"
"43334","chr8",8650676,8653598,".","-",".","Medtr8g023790","light-harvesting complex I chlorophyll A/B-binding protein","cluster1"
"43404","chr8",9378853,9379840,".","+",".","Medtr8g026960","homeobox associated leucine zipper protein","cluster1"
"43554","chr8",10594617,10599138,".","+",".","Medtr8g028265","BAG domain protein","cluster1"
"43751","chr8",12030768,12031513,".","-",".","Medtr8g032050","homeobox domain ZF-HD class protein","cluster1"
"43752","chr8",12031557,12032540,".","-",".","Medtr8g032055","transmembrane protein putative","cluster1"
"43754","chr8",12038937,12042218,".","-",".","Medtr8g032080","hypothetical protein","cluster1"
"43756","chr8",12051993,12053707,".","-",".","Medtr8g032100","homeobox domain ZF-HD class protein","cluster1"
"43757","chr8",12063717,12065620,".","-",".","Medtr8g032130","hypothetical protein","cluster1"
"44290","chr8",16510603,16517093,".","+",".","Medtr8g042750","histone-lysine N-methyltransferase","cluster1"
"45121","chr8",25284101,25306450,".","+",".","Medtr8g469540","AMP deaminase","cluster1"
"45138","chr8",25437860,25443639,".","+",".","Medtr8g469750","adenosine/AMP deaminase","cluster1"
"45549","chr8",28506706,28508326,".","-",".","Medtr8g068360","UDP-glucosyltransferase family protein","cluster1"
"46224","chr8",33605619,33607858,".","-",".","Medtr8g078870","photosystem II oxygen-evolving enhancer protein","cluster1"
"46577","chr8",36120245,36121742,".","+",".","Medtr8g087410","glutathione S-transferase","cluster1"
"46867","chr8",38077428,38081222,".","+",".","Medtr8g091320","myo-inositol 1-phosphate synthase","cluster1"
"47415","chr8",41983607,41984114,".","+",".","Medtr8g099475","hypothetical protein","cluster1"
"47452","chr8",42223590,42226325,".","-",".","Medtr8g099730","bidirectional sugar transporter","cluster1"
"47559","chr8",43068481,43069689,".","+",".","Medtr8g102350","hypothetical protein","cluster1"
"47573","chr8",43176042,43184129,".","-",".","Medtr8g102550","protein phosphatase 2C-like protein","cluster1"
"48074","scaffold0007",22828,23281,".","-",".","Medtr0007s0040","hypothetical protein","cluster1"
"49493","scaffold0340",6288,7919,".","-",".","Medtr0340s0030","ICE-like protease (caspase) p20 domain protein","cluster1"
"49674","scaffold0459",4633,9268,".","-",".","Medtr0459s0020","boron transporter-like protein","cluster1"
"596","chr1",4619316,4624368,".","+",".","Medtr1g017020","endo-14-beta-xylanase A-like protein","cluster2"
"758","chr1",5948679,5949279,".","+",".","Medtr1g019640","EF hand protein","cluster2"
"946","chr1",7264537,7266778,".","-",".","Medtr1g022970","peroxidase family protein","cluster2"
"1313","chr1",9945563,9946595,".","+",".","Medtr1g029140","transmembrane protein putative","cluster2"
"1463","chr1",11066540,11068656,".","+",".","Medtr1g031640","pathogenesis-related protein bet V I family protein","cluster2"
"2393","chr1",18496278,18497778,".","-",".","Medtr1g048470","hypothetical protein","cluster2"
"2819","chr1",23229599,23231785,".","+",".","Medtr1g054205","peroxidase family protein","cluster2"
"3360","chr1",28268839,28272292,".","-",".","Medtr1g064260","cytokinin riboside 5'-monophosphate phosphoribohydrolase","cluster2"
"3954","chr1",33017698,33018264,".","+",".","Medtr1g074310","ethylene response factor","cluster2"
"4595","chr1",37883712,37884054,".","+",".","Medtr1g084840","hypothetical protein","cluster2"
"5442","chr1",44445825,44448199,".","+",".","Medtr1g098680","ABA/WDS induced protein","cluster2"
"5477","chr1",44727107,44729271,".","-",".","Medtr1g099150","hypothetical protein","cluster2"
"5539","chr1",45158424,45164897,".","+",".","Medtr1g100210","methyltransferase-like protein","cluster2"
"6570","chr1",52485234,52489276,".","+",".","Medtr1g116120","plastid transketolase","cluster2"
"7396","chr2",5209563,5210425,".","+",".","Medtr2g016800","transmembrane protein putative","cluster2"
"8184","chr2",11095109,11098486,".","+",".","Medtr2g029560","peroxidase family protein","cluster2"
"8188","chr2",11117626,11119722,".","+",".","Medtr2g029750","peroxidase family protein","cluster2"
"8280","chr2",11828497,11831478,".","+",".","Medtr2g031500","hypothetical protein","cluster2"
"8442","chr2",13113982,13114665,".","+",".","Medtr2g034340","hypothetical protein","cluster2"
"8445","chr2",13122707,13123426,".","+",".","Medtr2g034370","transmembrane protein putative","cluster2"
"9211","chr2",19054344,19060080,".","+",".","Medtr2g043850","flavin-binding monooxygenase-like protein","cluster2"
"10437","chr2",30916911,30920217,".","-",".","Medtr2g073040","carboxyl-terminal peptidase","cluster2"
"11002","chr2",35279696,35282365,".","-",".","Medtr2g084010","lignin biosynthetic peroxidase","cluster2"
"11003","chr2",35289111,35291212,".","-",".","Medtr2g084020","lignin biosynthetic peroxidase","cluster2"
"11450","chr2",38442462,38443328,".","-",".","Medtr2g090340","hypothetical protein","cluster2"
"11554","chr2",39219498,39225164,".","+",".","Medtr2g091110","frigida-LIKE protein","cluster2"
"11716","chr2",40591520,40593404,".","+",".","Medtr2g095040","hypothetical protein","cluster2"
"11718","chr2",40610261,40611249,".","-",".","Medtr2g095060","Ripening related protein family","cluster2"
"11761","chr2",40910497,40924551,".","+",".","Medtr2g095920","receptor Serine/Threonine kinase","cluster2"
"11770","chr2",40995178,40996157,".","-",".","Medtr2g096040","glycoside hydrolase family 18 protein","cluster2"
"12536","chr3",783280,784794,".","+",".","Medtr3g006610","hypothetical protein","cluster2"
"13475","chr3",8822001,8823600,".","+",".","Medtr3g027940","DNA-damage-repair/toleration DRT100-like protein","cluster2"
"13667","chr3",10353904,10354513,".","-",".","Medtr3g032740","hypothetical protein","cluster2"
"14119","chr3",15657574,15658578,".","+",".","Medtr3g047110","hypothetical protein","cluster2"
"14206","chr3",16788705,16793672,".","+",".","Medtr3g053890","serine-glyoxylate aminotransferase-like protein","cluster2"
"15439","chr3",28248998,28251513,".","-",".","Medtr3g062540","root phototropism-like protein","cluster2"
"15927","chr3",31979903,31980759,".","-",".","Medtr3g071300","zinc finger C3HC4 type (RING finger) protein","cluster2"
"16548","chr3",36572815,36575499,".","-",".","Medtr3g080810","glycosyl hydrolase family 9 protein","cluster2"
"19085","chr3",55138179,55139030,".","+",".","Medtr3g117750","peptidyl-prolyl cis-trans isomerase","cluster2"
"19194","chr4",489841,491171,".","+",".","Medtr4g006040","ycf68 protein","cluster2"
"19196","chr4",497316,503118,".","+",".","Medtr4g006080","membrane protein Ycf1 putative","cluster2"
"19197","chr4",503156,503517,".","+",".","Medtr4g006090","30S ribosomal protein S15","cluster2"
"19198","chr4",503616,507751,".","+",".","Medtr4g006100","NAD(P)H-quinone oxidoreductase subunit H","cluster2"
"21223","chr4",18054640,18056326,".","+",".","Medtr4g050850","cytochrome b559 subunit alpha","cluster2"
"21224","chr4",18056910,18057871,".","-",".","Medtr4g050860","apocytochrome protein F","cluster2"
"21225","chr4",18059075,18061491,".","-",".","Medtr4g034770","photosystem I assembly protein Ycf4","cluster2"
"21226","chr4",18061729,18062995,".","-",".","Medtr4g050863","acetyl-coA carboxylase carboxyltransferase beta subunit","cluster2"
"21237","chr4",18142003,18143343,".","-",".","Medtr4g051097","ATP synthase subunit C","cluster2"
"21238","chr4",18143552,18144415,".","-",".","Medtr4g051103","F0F1-type ATP synthase subunit A","cluster2"
"21239","chr4",18144563,18145273,".","-",".","Medtr4g051110","30S ribosomal protein S2","cluster2"
"21240","chr4",18145546,18149748,".","-",".","Medtr4g051120","DNA-directed RNA polymerase subunit beta","cluster2"
"21241","chr4",18149828,18155924,".","-",".","Medtr4g051130","DNA-directed RNA polymerase subunit beta","cluster2"
"21248","chr4",18183932,18184948,".","-",".","Medtr4g035040","NAD(P)H-quinone oxidoreductase subunit J","cluster2"
"21265","chr4",18328776,18329562,".","+",".","Medtr4g051350","50S ribosomal protein L33","cluster2"
"21266","chr4",18329636,18331308,".","-",".","Medtr4g034720","50S ribosomal protein L20","cluster2"
"21267","chr4",18332187,18333696,".","-",".","Medtr4g034690","ATP-dependent Clp protease proteolytic protein","cluster2"
"21268","chr4",18333839,18335689,".","+",".","Medtr4g051370","photosystem II CP47 chlorophyll A apoprotein","cluster2"
"21269","chr4",18335912,18336444,".","+",".","Medtr4g051375","photosystem II reaction center protein H","cluster2"
"21270","chr4",18337219,18339198,".","+",".","Medtr4g034790","cytochrome B(amino-terminal)/b6/petB protein","cluster2"
"21271","chr4",18339234,18340731,".","-",".","Medtr4g051380","DNA-directed RNA polymerase subunit alpha","cluster2"
"21272","chr4",18341064,18341985,".","-",".","Medtr4g034810","30S ribosomal protein S8","cluster2"
"21273","chr4",18342544,18343055,".","-",".","Medtr4g051390","50S ribosomal protein L14p","cluster2"
"21274","chr4",18343093,18343654,".","-",".","Medtr4g034750","50S ribosomal protein L16","cluster2"
"21275","chr4",18344208,18345526,".","-",".","Medtr4g051410","30S ribosomal protein S3","cluster2"
"21882","chr4",23397852,23399076,".","+",".","Medtr4g063190","transmembrane protein putative","cluster2"
"22439","chr4",27393071,27393891,".","-",".","Medtr4g072190","SAUR-like auxin-responsive family protein","cluster2"
"22909","chr4",30572145,30572648,".","+",".","Medtr4g079170","ATP synthase subunit alpha","cluster2"
"24219","chr4",40583419,40586734,".","-",".","Medtr4g098500","LSD1-type zinc finger protein","cluster2"
"24497","chr4",42895463,42896814,".","+",".","Medtr4g103730","eukaryotic peptide chain release factor subunit 1-3","cluster2"
"24660","chr4",44104817,44105867,".","-",".","Medtr4g106860","gibberellin-regulated family protein","cluster2"
"24686","chr4",44288037,44292471,".","+",".","Medtr4g107220","phenazine biosynthesis PhzC/PhzF family protein","cluster2"
"24853","chr4",45534149,45534671,".","-",".","Medtr4g109560","hypothetical protein","cluster2"
"24857","chr4",45553548,45557732,".","-",".","Medtr4g109600","glycerophosphoryl diester phosphodiesterase family protein","cluster2"
"25071","chr4",47085995,47087166,".","-",".","Medtr4g114540","hypothetical protein","cluster2"
"25072","chr4",47089398,47091920,".","-",".","Medtr4g114550","IDS4-like protein","cluster2"
"25267","chr4",48643851,48644967,".","+",".","Medtr4g117330","adenylate isopentenyltransferase","cluster2"
"25510","chr4",50340762,50343181,".","-",".","Medtr4g121930","hypothetical protein","cluster2"
"25702","chr4",51755498,51756470,".","+",".","Medtr4g124850","transmembrane protein putative","cluster2"
"26718","chr5",2107811,2111223,".","+",".","Medtr5g009120","phosphatidylinositol 3- and 4-kinase family protein","cluster2"
"27984","chr5",11187311,11188094,".","-",".","Medtr5g027000","calcium-binding EF-hand protein","cluster2"
"29133","chr5",20450433,20452413,".","-",".","Medtr5g046650","hypothetical protein","cluster2"
"29308","chr5",22394587,22397084,".","+",".","Medtr5g054300","myb-like transcription factor family protein","cluster2"
"30843","chr5",34850073,34852831,".","+",".","Medtr5g081360","hypothetical protein","cluster2"
"32682","chr6",4078936,4083067,".","-",".","Medtr6g013050","purple acid phosphatase","cluster2"
"32848","chr6",5331585,5332458,".","-",".","Medtr6g015650","disease resistance protein (TIR-NBS-LRR class)","cluster2"
"35042","chr6",26614233,26615313,".","+",".","Medtr6g071695","purple acid phosphatase","cluster2"
"36569","chr7",4679278,4679936,".","-",".","Medtr7g015340","RALF","cluster2"
"36712","chr7",5808832,5809435,".","-",".","Medtr7g018090","transmembrane protein putative","cluster2"
"39018","chr7",26959446,26962343,".","+",".","Medtr7g072510","class III peroxidase","cluster2"
"39097","chr7",27510904,27512450,".","-",".","Medtr7g073590","hsp20/alpha crystallin family protein","cluster2"
"39098","chr7",27513493,27514041,".","-",".","Medtr7g073600","hypothetical protein","cluster2"
"39235","chr7",28516986,28522271,".","+",".","Medtr7g075890","subtilisin-like serine protease","cluster2"
