Gene_ID,R_stat,R_padj,M_stat,M_padj,I_stat,I_padj,Category
Medtr0268s0040,10.2464,0.0162,0.1812,NA,0.7571,NA,R only
Medtr0291s0020,148.6697,0,0.1266,0.8725,1.5379,0.9069,R only
Medtr0291s0040,57.9419,0,0.2919,0.7917,0.0098,NA,R only
Medtr0330s0020,77.5317,0,0.1932,0.8361,2.1093,0.857,R only
Medtr0330s0030,93.6199,0,0.0272,0.9441,1.1499,0.9401,R only
Medtr0330s0040,103.7476,0,0.5283,0.7008,0.3777,0.9907,R only
Medtr0330s0050,133.8202,0,0.0002,0.9956,0.0806,0.998,R only
Medtr0337s0030,82.6138,0,0.2246,0.8222,0.4276,0.9907,R only
Medtr0337s0040,53.6841,0,0.0234,0.9484,0.7572,NA,R only
Medtr0337s0090,74.2604,0,0.2469,0.8112,0.8271,0.9636,R only
Medtr0340s0030,15.1626,0.0016,1.9443,0.371,0.1824,NA,R only
Medtr0366s0020,10.3917,0.0151,2.0369,0.3561,0.2675,NA,R only
Medtr0370s0010,24.3407,0,0.0096,0.968,0.0188,0.9996,R only
Medtr0386s0010,139.0541,0,0.3043,0.7861,0.7659,0.972,R only
Medtr0391s0020,13.9786,0.0028,0.075,0.9047,0.4427,0.9907,R only
Medtr0392s0020,41.4557,0,0.4975,0.7103,0.0425,NA,R only
Medtr0416s0030,124.9179,0,0.046,0.9263,5.327,0.5617,R only
Medtr0458s0010,14.9415,0.0018,6.1369,0.0624,3.2572,NA,R only
Medtr0459s0020,8.09,0.0423,1.2958,0.4921,0.0959,0.998,R only
Medtr0512s0030,102.5047,0,0.1904,0.8374,0.002,0.9996,R only
Medtr0530s0020,24.0905,0,2.3242,0.3156,0.0353,NA,R only
Medtr0542s0020,11.0958,0.0109,6.4641,0.0546,0.1885,NA,R only
Medtr0672s0010,97.8608,0,0.0017,0.9869,0.018,0.9996,R only
Medtr0674s0020,38.8084,0,0.1705,0.8483,0.0053,NA,R only
Medtr0683s0010,124.1138,0,0.0243,0.9475,0.0001,0.9999,R only
Medtr0753s0010,100.7728,0,0.0164,0.9576,0.7093,NA,R only
Medtr0753s0030,53.9954,0,0.6068,0.6746,0.0151,NA,R only
Medtr0807s0020,7.72,0.0494,1.1615,0.5229,0.0042,0.9996,R only
Medtr0888s0020,94.9542,0,0.0183,0.9554,0.9641,NA,R only
Medtr0911s0010,47.9243,0,0.3198,0.78,0.0082,NA,R only
Medtr0911s0020,14.9883,0.0017,0.0586,NA,0.0009,NA,R only
Medtr0959s0010,115.6864,0,0.0644,0.9127,0.909,0.9598,R only
Medtr0991s0010,9.4567,0.0231,0.2376,0.8151,1.2987,NA,R only
Medtr1088s0010,9.3868,0.0238,2.9836,0.2379,3.1655,NA,R only
Medtr1149s0010,121.1605,0,0.0083,0.9703,0.0028,0.9996,R only
Medtr1252s0010,7.8741,0.0463,2.2181,NA,0.0229,NA,R only
Medtr1308s0010,15.8589,0.0011,1.3984,0.4697,1.9787,NA,R only
Medtr1826s0010,19.4426,0.0002,0.6406,0.6636,0.0443,NA,R only
Medtr1886s0010,36.5495,0,1.8725,0.3825,0.1539,NA,R only
Medtr1918s0010,7.9297,0.0451,1.8498,0.386,0.0203,0.9996,R only
Medtr1999s0010,51.2692,0,0.1963,0.8349,0.4056,NA,R only
Medtr1g004990,42.1558,0,0.0017,0.9874,0.1905,0.998,R only
Medtr1g007300,96.0278,0,0.0504,0.9226,0.0133,NA,R only
Medtr1g007340,8.0266,0.0434,0.5875,0.6807,0.0014,0.9996,R only
Medtr1g008280,41.011,0,3.2258,0.2148,0.3833,0.9907,R only
Medtr1g008450,55.8487,0,0.6597,0.6578,0.0337,NA,R only
Medtr1g009760,8.0264,0.0434,0.0089,0.9692,1.8705,NA,R only
Medtr1g010020,12.991,0.0045,0.1115,0.881,0.1964,0.998,R only
Medtr1g010220,326.1803,0,0.5078,0.7074,3.0273,0.7637,R only
Medtr1g010250,15.6442,0.0013,0.0009,0.9904,0.0522,0.998,R only
Medtr1g010260,10.3985,0.0151,0.1459,0.862,0.3441,0.9912,R only
Medtr1g010310,173.857,0,0.6274,0.6677,1.6191,0.9046,R only
Medtr1g011245,81.7869,0,0.1414,0.865,0.0002,NA,R only
Medtr1g011430,105.6269,0,0.1013,0.8866,0,NA,R only
Medtr1g011510,8.8352,0.0304,0.1886,0.8383,0.3834,0.9907,R only
Medtr1g011540,170.9565,0,0.2559,0.8075,1.1484,0.9401,R only
Medtr1g011600,9.9966,0.0181,0.6047,0.675,3.3881,NA,R only
Medtr1g012430,8.4876,0.0357,1.4376,0.4618,1.0605,0.9446,R only
Medtr1g012480,10.6606,0.0133,2.3793,0.3085,0.0123,0.9996,R only
Medtr1g012960,16.3642,0.0009,2.2052,0.332,0.0012,0.9996,R only
Medtr1g013800,8.4272,0.0366,1.7606,0.4012,0.0144,0.9996,R only
Medtr1g014720,8.1355,0.0415,2.7787,0.2594,3.0188,0.7647,R only
Medtr1g015750,8.0649,0.0427,4.7768,0.1106,0.0587,0.998,R only
Medtr1g016070,9.8081,0.0197,5.5382,0.0803,1.5854,0.9061,R only
Medtr1g016440,10.3329,0.0155,3.5136,0.1906,5.6114,0.5397,R only
Medtr1g016490,20.5241,0.0001,1.0899,0.5398,4.7769,NA,R only
Medtr1g016920,9.5813,0.0218,1.0052,0.5608,0.0078,0.9996,R only
Medtr1g016970,10.5321,0.0141,2.8381,0.2531,0.031,0.9996,R only
Medtr1g017920,83.4023,0,1.0131,0.5588,0.164,NA,R only
Medtr1g018770,12.9244,0.0046,0.5082,NA,0.0328,NA,R only
Medtr1g019270,20.0908,0.0001,4.1114,0.1469,4.6856,0.605,R only
Medtr1g019440,15.3528,0.0014,3.8236,0.1669,1.2017,0.9346,R only
Medtr1g021230,13.7513,0.0031,0.0031,NA,1.0592,NA,R only
Medtr1g021845,12.3123,0.0062,1.9932,0.3629,4.0946,0.6599,R only
Medtr1g021895,11.4798,0.0091,0.2082,0.8292,0.1653,0.998,R only
Medtr1g021955,34.4565,0,0.5695,0.6864,0.9613,0.9579,R only
Medtr1g022030,18.0818,0.0004,0.0409,0.9303,0.1519,0.998,R only
Medtr1g022325,18.1197,0.0004,4.3087,0.1352,0.7397,NA,R only
Medtr1g022370,11.2725,0.0101,2.8325,0.2536,1.1235,0.9414,R only
Medtr1g022505,12.4564,0.0058,2.3298,0.3148,0.5626,0.9823,R only
Medtr1g023020,81.5464,0,0.0048,0.978,1.0267,NA,R only
Medtr1g023030,38.9742,0,1.8723,0.3825,0.026,0.9996,R only
Medtr1g023140,12.4691,0.0057,3.822,0.167,3.5399,0.7196,R only
Medtr1g023230,136.5247,0,0.8733,0.5957,2.3589,NA,R only
Medtr1g023720,9.6018,0.0216,1.8612,0.3842,1.3226,NA,R only
Medtr1g024910,50.8943,0,0.3362,0.7731,0.8037,NA,R only
Medtr1g025250,11.7407,0.0081,3.3113,0.2074,1.8202,0.8775,R only
Medtr1g025340,7.983,0.0441,0.823,0.6092,5.5393,0.5499,R only
Medtr1g025830,20.8179,0.0001,0.1297,NA,1.6126,NA,R only
Medtr1g026070,9.201,0.0259,0.0554,0.9194,0.4331,0.9907,R only
Medtr1g027050,10.2911,0.0159,0.068,0.9096,0.0224,0.9996,R only
Medtr1g027450,25.1491,0,0.3483,0.7681,0.0338,NA,R only
Medtr1g027460,14.5566,0.0021,3.7466,0.1728,0.0092,0.9996,R only
Medtr1g027640,10.0477,0.0177,0.0002,0.9959,0.5433,0.9836,R only
Medtr1g027680,9.2656,0.0251,5.5953,0.0784,0.405,0.9907,R only
Medtr1g027750,135.3062,0,0.1972,0.8345,1.4788,0.9165,R only
Medtr1g027960,12.7638,0.005,0.0156,0.9585,1.2224,NA,R only
Medtr1g028620,14.1064,0.0026,2.2269,0.329,0.0485,NA,R only
Medtr1g028890,11.9256,0.0074,0.7076,0.6434,0.1894,0.998,R only
Medtr1g028980,128.3291,0,0.0311,0.9401,0.7297,0.9748,R only
Medtr1g029230,67.2618,0,-0.0001,1,0.0012,NA,R only
Medtr1g029440,8.4448,0.0363,5.9846,0.0665,0.037,0.9993,R only
Medtr1g029490,10.4026,0.0151,5.1451,0.0946,0.001,0.9996,R only
Medtr1g029550,25.3147,0,2.5432,0.2879,0.0025,0.9996,R only
Medtr1g030060,7.9972,0.0439,0.0505,0.9225,0.6477,0.9768,R only
Medtr1g030275,222.9709,0,0.3056,0.7856,1.6566,0.9,R only
Medtr1g030290,15.3961,0.0014,0.0155,0.9587,0.5715,0.981,R only
Medtr1g030810,11.2777,0.01,0.2613,0.8051,1.6028,0.9056,R only
Medtr1g031110,10.7134,0.013,2.5816,0.2831,0.4077,0.9907,R only
Medtr1g033000,10.5823,0.0138,0.3236,0.7787,0.1927,0.998,R only
Medtr1g033100,19.7639,0.0002,4.915,0.1044,0.043,0.998,R only
Medtr1g033130,11.7166,0.0082,4.3787,0.1312,1.4613,0.9165,R only
Medtr1g033440,11.9299,0.0074,0.5375,0.6977,0.4059,0.9907,R only
Medtr1g033500,9.698,0.0207,0.0445,0.9273,0.1554,0.998,R only
Medtr1g033750,11.9966,0.0072,4.2139,0.1405,2.1474,0.8555,R only
Medtr1g036390,9.1352,0.0266,0.1213,0.8753,1.4802,0.9161,R only
Medtr1g036490,11.0614,0.0111,3.4861,0.1928,2.2851,0.8404,R only
Medtr1g037670,147.7252,0,0.2569,0.807,0.0007,NA,R only
Medtr1g038700,27.1119,0,0.0214,NA,0.9917,NA,R only
Medtr1g038850,12.6522,0.0053,0.0238,0.9482,1.2623,0.9306,R only
Medtr1g039435,250.3373,0,0.0003,0.9942,0.6546,0.9757,R only
Medtr1g039445,103.1045,0,0.0001,0.9974,1.8039,NA,R only
Medtr1g040175,9.4836,0.0229,5.5908,0.0785,0.1957,0.998,R only
Medtr1g040195,12.2352,0.0064,4.9335,0.1035,0.0543,0.998,R only
Medtr1g040320,10.9187,0.0119,5.3522,0.0866,0.0804,0.998,R only
Medtr1g040335,22.2509,0,0.188,NA,0.0226,NA,R only
Medtr1g041020,8.9524,0.029,0.5617,0.689,0.156,NA,R only
Medtr1g041245,16.7554,0.0007,6.3784,0.0566,3.3291,0.7387,R only
Medtr1g041475,11.0835,0.011,0.4575,0.7255,4.7822,0.605,R only
Medtr1g041805,22.629,0,0.3766,0.7568,0.1023,NA,R only
Medtr1g041815,131.2878,0,0.1092,0.8823,0.9247,NA,R only
Medtr1g041915,46.5306,0,0.0006,0.9922,0.0008,NA,R only
Medtr1g042200,78.3327,0,0.0196,0.9539,0.0148,0.9996,R only
Medtr1g042310,98.7381,0,0.1579,0.8551,0.0945,0.998,R only
Medtr1g042850,75.8806,0,0.0204,0.9524,0.0584,0.998,R only
Medtr1g042895,181.9351,0,0.4361,0.7328,0.0166,0.9996,R only
Medtr1g042900,175.6268,0,0.0285,0.9427,0.1085,0.998,R only
Medtr1g042910,228.9059,0,0.3219,0.7791,1.8835,0.8715,R only
Medtr1g042940,212.8767,0,0.0173,0.9564,0.0846,0.998,R only
Medtr1g043690,10.2626,0.0161,1.7895,0.3961,0.1527,0.998,R only
Medtr1g044500,102.4604,0,0.6425,0.6632,0.0023,NA,R only
Medtr1g045550,9.9705,0.0183,0.856,0.6003,0,0.9999,R only
Medtr1g046005,76.0925,0,0.235,0.8166,0.0125,NA,R only
Medtr1g046010,96.1466,0,0.0039,0.98,0.0023,NA,R only
Medtr1g046020,122.0077,0,0.1199,0.8761,0.5382,0.9848,R only
Medtr1g046070,49.9346,0,1.3259,0.4845,0.269,0.997,R only
Medtr1g046110,175.8258,0,0.0702,0.9076,0,0.9999,R only
Medtr1g046150,134.7294,0,1.2736,0.4972,0.6689,0.9757,R only
Medtr1g046170,263.3423,0,0.0146,0.9598,1.7544,0.8844,R only
Medtr1g046440,188.7224,0,0.0736,0.9056,0.0033,0.9996,R only
Medtr1g047330,51.8708,0,0.0567,0.9181,0.0003,NA,R only
Medtr1g047930,18.5385,0.0003,3.9727,0.1562,0.3355,NA,R only
Medtr1g048000,8.0941,0.0422,4.2016,0.1413,0.4605,0.9895,R only
Medtr1g049240,8.9976,0.0284,1.267,0.4985,0.0749,0.998,R only
Medtr1g049330,176.8143,0,0.0278,0.9436,0.0316,0.9994,R only
Medtr1g050462,8.1031,0.042,4.0209,0.1528,8.9108,0.2949,R only
Medtr1g051025,73.8024,0,0.7735,0.6232,1.4638,0.9165,R only
Medtr1g051120,139.495,0,0.2734,0.8001,0.0032,0.9996,R only
Medtr1g051175,35.3194,0,0.017,0.9569,0.5959,NA,R only
Medtr1g051360,75.1187,0,0.0378,0.9339,0.005,NA,R only
Medtr1g051365,75.1928,0,0.1764,0.8451,0.0294,0.9996,R only
Medtr1g051380,13.0055,0.0045,2.5056,0.2925,0.4745,0.9883,R only
Medtr1g051385,10.0755,0.0175,1.4019,0.4691,0.1225,0.998,R only
Medtr1g051840,107.2515,0,0.0051,0.9774,0.0005,0.9996,R only
Medtr1g052005,98.6137,0,0.0022,0.9852,0.0466,0.998,R only
Medtr1g052840,110.0645,0,0.0003,0.9946,0.5944,0.9786,R only
Medtr1g052845,82.9745,0,0.9396,0.5781,1.4576,NA,R only
Medtr1g052855,25.4424,0,0,0.9991,0.0003,NA,R only
Medtr1g052880,58.4161,0,0.0628,0.9139,3.1304,0.7524,R only
Medtr1g053265,59.7429,0,0.0267,0.9447,2.4069,NA,R only
Medtr1g053625,88.9982,0,0.0085,0.9701,0.5963,0.9786,R only
Medtr1g053640,127.713,0,0.0006,0.9922,0.0391,0.9982,R only
Medtr1g053645,25.561,0,0.5416,0.6962,0.0208,NA,R only
Medtr1g053975,22.669,0,1.0866,0.5406,0.056,NA,R only
Medtr1g054165,75.0325,0,0.1278,0.872,0.7936,NA,R only
Medtr1g054305,17.1786,0.0006,3.1718,0.2198,8.6303,0.3064,R only
Medtr1g054635,239.0845,0,0.0711,0.9071,0.0193,0.9996,R only
Medtr1g055035,110.2617,0,0.0733,0.9059,0.0086,0.9996,R only
Medtr1g055090,12.9672,0.0045,0.7546,NA,0.0976,NA,R only
Medtr1g056260,15.2609,0.0015,0.7953,NA,0.0777,NA,R only
Medtr1g056455,93.2769,0,2.8452,0.2524,0.4965,NA,R only
Medtr1g056530,266.8767,0,0.943,0.5771,0.758,0.973,R only
Medtr1g056910,13.9997,0.0028,2.3987,0.3059,0.8861,0.9603,R only
Medtr1g057270,14.5958,0.0021,1.5156,0.4466,1.4362,0.9197,R only
Medtr1g058350,41.8334,0,2.3134,0.3168,2.5556,0.8106,R only
Medtr1g058540,7.9803,0.0442,4.7692,0.111,0.3705,0.9907,R only
Medtr1g058880,144.5317,0,0.0071,0.9729,0.0006,NA,R only
Medtr1g059900,160.8149,0,0.1883,0.8385,0.8567,0.9621,R only
Medtr1g059940,125.6308,0,0.7755,0.6225,1.9863,0.866,R only
Medtr1g060190,103.6884,0,3.6321,0.1812,3.123,NA,R only
Medtr1g060380,32.7171,0,0.3852,0.7531,0.0291,NA,R only
Medtr1g060610,8.1878,0.0405,5.4747,0.0824,0.529,0.9854,R only
Medtr1g060740,11.4043,0.0095,0.0777,0.9027,0.6141,NA,R only
Medtr1g060990,105.6121,0,0.0152,0.9589,0.352,0.9911,R only
Medtr1g061100,125.869,0,0.2534,0.8085,1.3424,0.9274,R only
Medtr1g061110,118.77,0,0.0352,0.9362,0,0.9999,R only
Medtr1g062710,255.4498,0,0.8675,0.5972,0.0945,0.998,R only
Medtr1g062870,124.2669,0,0.0231,0.9486,0.0002,NA,R only
Medtr1g062930,10.3416,0.0155,2.9597,0.2403,0.0002,0.9999,R only
Medtr1g064350,202.2566,0,0.3982,0.748,1.5992,0.9056,R only
Medtr1g066380,15.7023,0.0012,1.3822,0.4731,1.6922,0.8941,R only
Medtr1g066890,51.9125,0,0.6939,0.6472,0.1303,NA,R only
Medtr1g067150,17.8412,0.0004,1.2093,0.5107,0.0955,0.998,R only
Medtr1g067410,29.2068,0,0.2744,0.7996,0.9825,0.9531,R only
Medtr1g068630,142.802,0,1.1859,0.5166,1.9123,0.8715,R only
Medtr1g069250,34.0579,0,0.5983,0.6768,1.6506,NA,R only
Medtr1g069325,8.0508,0.043,4.6715,0.116,0.0001,0.9999,R only
Medtr1g069705,15.6504,0.0012,6.5197,0.0534,0.2381,0.998,R only
Medtr1g069805,8.0434,0.0431,0.0124,0.9632,1.9926,0.8654,R only
Medtr1g069825,104.7603,0,2.2995,0.3186,1.1538,0.9401,R only
Medtr1g069960,9.042,0.0278,0.7231,0.6383,1.157,0.9401,R only
Medtr1g070185,37.438,0,6.4749,0.0544,0.0005,0.9996,R only
Medtr1g071450,74.5355,0,1.5663,0.4364,1.8739,0.8718,R only
Medtr1g071880,115.4201,0,0.3158,0.7815,2.0996,0.8591,R only
Medtr1g071890,225.2709,0,0.3335,0.7745,0.0021,0.9996,R only
Medtr1g072090,31.9179,0,1.5706,0.4358,0.0248,NA,R only
Medtr1g072095,71.4376,0,0.0026,0.984,0.0022,NA,R only
Medtr1g072096,66.5999,0,0.2937,0.7909,0.7988,NA,R only
Medtr1g072450,10.3569,0.0154,0.6902,0.6483,0.2594,0.998,R only
Medtr1g072470,16.9002,0.0007,3.3346,0.2053,0.0389,0.9982,R only
Medtr1g072530,39.2222,0,0.6844,0.6504,0.0171,NA,R only
Medtr1g073260,24.6636,0,4.9449,0.103,1.4878,0.9138,R only
Medtr1g073320,7.9041,0.0456,5.5062,0.0813,0.4928,0.988,R only
Medtr1g073340,12.6524,0.0053,0.3118,0.7831,0.2251,0.998,R only
Medtr1g073510,225.1326,0,0.0767,0.9033,0.0103,0.9996,R only
Medtr1g073530,8.9913,0.0284,0.2276,0.8206,2.4401,0.8207,R only
Medtr1g073990,275.3678,0,4.951,0.1028,0.0797,0.998,R only
Medtr1g074070,22.8115,0,1.2254,0.5075,2.8213,0.7912,R only
Medtr1g074120,192.964,0,0.287,0.7941,1.0855,0.9443,R only
Medtr1g074410,373.2258,0,0.6914,0.6478,0.0874,0.998,R only
Medtr1g074840,209.9028,0,0.2895,0.793,1.1013,0.9439,R only
Medtr1g074860,129.3398,0,0.3549,0.7653,0.0039,0.9996,R only
Medtr1g074930,11.7517,0.008,1.5355,0.4426,5.9389,0.51,R only
Medtr1g075045,75.7173,0,0.1011,0.8869,0.0116,0.9996,R only
Medtr1g075430,16.9067,0.0007,2.5436,0.2878,1.5727,NA,R only
Medtr1g075500,89.8517,0,0.0019,0.9863,1.8426,0.8761,R only
Medtr1g075990,127.7423,0,1.4004,0.4695,0.1541,0.998,R only
Medtr1g077100,13.6549,0.0033,0.4664,0.7218,0.0149,0.9996,R only
Medtr1g077480,109.6204,0,0.0717,0.9067,0.1134,0.998,R only
Medtr1g077640,13.5764,0.0034,0.1358,0.8679,0.2291,0.998,R only
Medtr1g078050,10.5423,0.0141,0.9656,0.5705,0.0017,0.9996,R only
Medtr1g078110,10.0974,0.0173,2.0318,0.3568,1.7202,NA,R only
Medtr1g078280,21.115,0.0001,1.761,0.4011,0.0861,NA,R only
Medtr1g079250,10.6908,0.0132,1.2549,0.501,6.0464,0.4945,R only
Medtr1g079340,10.9111,0.0119,0.3058,0.7855,0.7296,0.9748,R only
Medtr1g079430,8.3422,0.0379,0.2586,0.8065,1.5594,NA,R only
Medtr1g080250,13.3281,0.0038,0.3048,0.786,2.652,0.8033,R only
Medtr1g080472,44.013,0,0.1948,0.8356,0.579,0.9795,R only
Medtr1g080600,34.1883,0,4.9147,0.1044,4.0491,0.6624,R only
Medtr1g081780,9.3117,0.0246,2.6383,0.2762,0.4919,NA,R only
Medtr1g081870,11.767,0.008,0.0005,0.9926,0.0197,0.9996,R only
Medtr1g082260,17.6424,0.0005,0.4461,0.7297,0.3817,NA,R only
Medtr1g082270,30.3249,0,0.0169,0.9569,0.0318,NA,R only
Medtr1g082600,83.0716,0,-0.0001,1,0.0013,0.9996,R only
Medtr1g082670,15.4444,0.0014,0.0597,0.9159,0.4126,0.9907,R only
Medtr1g082750,10.665,0.0133,0.3473,0.7683,0.3333,0.9918,R only
Medtr1g083260,21.9475,0.0001,1.6829,0.4145,0.9639,0.9572,R only
Medtr1g083390,9.0141,0.0282,0.0284,0.9427,2.9454,0.7745,R only
Medtr1g085130,8.969,0.0287,1.9872,0.3637,0.3532,0.9911,R only
Medtr1g085350,26.94,0,0.0116,NA,0.0038,NA,R only
Medtr1g085680,13.2704,0.0039,0.0121,0.9637,2.24,0.8458,R only
Medtr1g085730,14.5094,0.0022,3.2381,0.2138,0.2489,0.998,R only
Medtr1g085750,9.1785,0.0261,3.419,0.1981,2.1575,0.8555,R only
Medtr1g086390,11.949,0.0073,0.9801,0.5668,0.0072,0.9996,R only
Medtr1g086430,39.4759,0,0.037,0.9346,0.036,0.9993,R only
Medtr1g086670,10.7264,0.013,1.0956,0.5382,1.3335,0.9285,R only
Medtr1g087775,8.6419,0.0332,2.1714,0.3365,2.9382,0.776,R only
Medtr1g088020,16.4126,0.0009,4.0194,0.1529,0.9421,0.9596,R only
Medtr1g088040,12.1939,0.0065,0.9094,0.5863,0.0744,NA,R only
Medtr1g088150,80.6524,0,0.1594,0.8545,0.2346,0.998,R only
Medtr1g088225,10.1139,0.0172,2.1766,0.3356,0.3303,0.9918,R only
Medtr1g088430,8.1271,0.0416,0.8712,0.5962,0.1642,0.998,R only
Medtr1g088480,9.377,0.0239,2.6145,0.2793,0.8258,0.9636,R only
Medtr1g088930,312.9229,0,0.3853,0.7531,0.0034,0.9996,R only
Medtr1g088940,17.3544,0.0005,0.1763,0.8451,0.0154,0.9996,R only
Medtr1g089130,14.2804,0.0024,0.3683,0.7601,0.6862,0.9754,R only
Medtr1g089180,18.688,0.0003,4.191,0.1419,0.0004,0.9996,R only
Medtr1g089630,14.5246,0.0021,2.0641,0.3518,0.72,0.9748,R only
Medtr1g090370,7.7339,0.0491,0.3204,0.7798,0.3071,0.993,R only
Medtr1g090807,466.5445,0,0.8762,0.5949,0.3663,0.9907,R only
Medtr1g090810,113.8229,0,0.0355,0.9357,0.588,0.9789,R only
Medtr1g090813,15.3426,0.0014,0.5426,NA,0.1913,NA,R only
Medtr1g090820,258.5625,0,0.2648,0.8038,0.5235,0.9856,R only
Medtr1g090937,45.8012,0,0.0492,0.9236,1.7017,NA,R only
Medtr1g090943,164.2325,0,0.0605,0.9154,0.0242,0.9996,R only
Medtr1g092720,156.4655,0,0.022,0.9499,0.0002,0.9999,R only
Medtr1g093030,178.118,0,1.215,0.5097,0.3832,0.9907,R only
Medtr1g093100,14.0275,0.0027,0.5694,0.6864,2.1495,0.8555,R only
Medtr1g093210,14.4315,0.0022,2.6703,0.2725,0.7696,0.9716,R only
Medtr1g093650,27.3387,0,1.6667,0.4175,0.0128,0.9996,R only
Medtr1g093850,72.7449,0,0.0142,0.9602,0.1591,0.998,R only
Medtr1g094215,14.0751,0.0027,0.0286,0.9425,0.1066,0.998,R only
Medtr1g094255,8.5558,0.0345,0.1179,0.877,1.3355,NA,R only
Medtr1g095390,9.9829,0.0182,0.308,0.7847,0.0969,0.998,R only
Medtr1g096670,7.984,0.0441,0.3583,0.764,1.081,NA,R only
Medtr1g096780,10.8575,0.0122,2.9133,0.2451,0.4019,0.9907,R only
Medtr1g097600,7.7836,0.048,0.5953,0.6777,0.1361,0.998,R only
Medtr1g097840,8.2018,0.0403,5.6094,0.078,0.1798,0.998,R only
Medtr1g099350,109.7105,0,1.1863,0.5165,0.9678,0.9566,R only
Medtr1g100040,15.0225,0.0017,6.3034,0.0583,1.7396,NA,R only
Medtr1g100060,39.2013,0,6.3315,0.0576,3.4887,NA,R only
Medtr1g100385,23.7518,0,0.159,0.8546,1.6689,NA,R only
Medtr1g100667,14.5571,0.0021,1.9326,0.3728,0.873,0.9617,R only
