,gene_short_name,UniProt_AC,UniProt_ID,EntrezGene,symbol,X,Chromosome,Start,End,Score,Strand,Phase,Note,Cluster.x,gene_id,tss_id,locus,gene_short_names,Cluster.y,A17_FPKM,dmi2_FPKM,dmi3_FPKM,ipd3_FPKM,lyk3_FPKM,nfp_FPKM,pt4_FPKM,A17_1,A17_2,A17_3,A17_4,A17_5,dmi2_1,dmi2_2,dmi2_3,dmi2_4,dmi2_5,dmi3_1,dmi3_2,dmi3_3,dmi3_4,dmi3_5,ipd3_1,ipd3_2,ipd3_3,ipd3_4,ipd3_5,lyk3_1,lyk3_2,lyk3_3,lyk3_4,lyk3_5,nfp_1,nfp_2,nfp_3,nfp_4,nfp_5,pt4_1,pt4_2,pt4_3,pt4_4,pt4_5
MSTRG.30571,Medtr0009s0370,A0A072TKZ7,A0A072TKZ7_MEDTR,25479540,MTR_0009s0370,48128,scaffold0009,185809,188965,.,-,.,sugar porter (SP) family MFS transporter,cluster3,MSTRG.30571,TSS58844,scaffold0009:185808-188965,Medtr0009s0370,cluster3,19.5191,24.4592,39.7867,16.8482,12.2594,19.9788,32.8332,-0.490830457,-0.555611864,0.286684743,-0.917854094,0.023634658,0.713875066,0.819655195,-0.164261104,-0.472217869,0.219825804,1.749403008,1.495050328,0.773659779,1.956186499,1.39838439,-0.260373367,-0.649102492,-1.049139582,-0.821908112,-0.587314522,-1.301776393,-1.08945123,-1.682581747,-1.281217644,-1.925764358,-0.322446496,-0.139077937,-0.361233575,-0.112526948,-0.259743634,1.229582002,1.316119175,0.886400248,0.575103472,1.00086906
MSTRG.30577,Medtr0010s0210,A0A072TK02,A0A072TK02_MEDTR,25479553,MTR_0010s0210,48141,scaffold0010,143064,144144,.,-,.,hypothetical protein,cluster5,MSTRG.30577,"TSS58861,TSS58862",scaffold0010:141247-144349,Medtr0010s0210,cluster5,1.81623,1.63798,0.672757,2.58344,2.69301,2.19776,1.31225,-0.201847495,-0.604292578,1.350250122,0.340383371,-0.77309567,0.383559432,-1.676211882,-0.040199706,0.592598774,-0.110222956,-1.259449735,-1.847571879,-1.053311811,-1.310397155,-1.97254432,0.78228068,-0.731846095,1.812563626,0.831234707,1.079764163,1.237522832,0.861358596,1.329889671,0.586049118,0.671887635,-0.152340919,-0.296092927,0.364335036,0.852575673,1.444718654,-0.692407003,-0.623007033,0.007744869,-0.227555985,-0.956321808
MSTRG.30580,Medtr0011s0020,A0A072TVD1,A0A072TVD1_MEDTR,25479564,MTR_0011s0020,48152,scaffold0011,11540,18628,.,+,.,cellulose synthase-like protein,cluster6,MSTRG.30580,TSS58870,scaffold0011:11539-18628,Medtr0011s0020,cluster6,29.8919,14.4938,15.5357,44.9581,18.8212,11.4774,12.9817,-0.012361772,1.128809518,0.744890712,0.240712635,1.71025321,0.464973661,-1.646634614,-1.139911269,0.647956995,-1.228663859,0.322292288,-0.575567001,-0.223460842,-0.208998972,-0.496424221,0.719160491,2.470732307,1.651379192,1.531961027,0.834949743,-0.805603641,0.235495991,1.086916997,-0.294249503,-0.328408167,-1.405034053,-0.547621984,-0.544592714,-0.208904709,-1.003564587,0.182244922,-1.482605847,-1.102458116,-0.837092389,0.11942857
MSTRG.30582,Medtr0011s0280,A0A072TVD7,A0A072TVD7_MEDTR,25479569,MTR_0011s0280,48157,scaffold0011,229705,232158,.,+,.,NADP-dependent alkenal double bond reductase P1,cluster5,MSTRG.30582,TSS58875,scaffold0011:229704-232158,Medtr0011s0280,cluster5,94.118,61.8449,21.025,102.915,199.979,68.1641,43.6847,0.794684774,0.502923,0.09548252,1.044833757,-0.843969344,-0.454572164,-0.402288248,0.10740427,0.042888838,0.313096591,-1.410550076,-2.053130465,-0.246720303,-2.239872834,-2.010140232,0.808967263,0.613795614,0.643183611,0.62814077,0.098689651,0.936352021,1.330706225,1.735049076,1.655493281,1.150857363,-0.139382478,-0.342569651,0.140428557,-0.193684436,0.648183934,-0.939898935,-0.637232753,0.22754178,-0.217587262,-1.387103717
MSTRG.30591,Medtr0012s0290,A0A072TJ75,A0A072TJ75_MEDTR,25479587,MTR_0012s0290,48174,scaffold0012,202913,214659,.,-,.,disease resistance protein (TIR-NBS-LRR class) putative,cluster5,MSTRG.30591,TSS58895,scaffold0012:202912-214659,Medtr0012s0290,cluster5,1.36521,0.975279,0.701677,2.78401,2.00654,1.77314,0.759784,0.349405565,-0.536993029,-1.108461916,1.508167398,-0.87972523,-0.862019401,-1.244576162,-0.08019766,-0.334385848,0.073610237,-1.75659435,-0.86181957,0.081907261,-1.411917638,-0.692812449,1.027763761,1.338341083,1.714860185,1.352430594,1.173999805,0.992577782,0.202996218,1.085239969,0.67182068,0.46203582,0.115612408,0.52227781,-0.00452565,-0.441649272,1.696587488,-0.766606446,0.00428155,-0.394191986,-1.245204612,-1.752234397
MSTRG.30599,Medtr0015s0030,A0A072TJU7,A0A072TJU7_MEDTR,25479622,MTR_0015s0030,48209,scaffold0015,10200,12716,.,+,.,lectin receptor kinase,cluster5,MSTRG.30599,TSS58936,scaffold0015:10199-12716,Medtr0015s0030,cluster5,7.73495,4.59048,2.61005,12.847,16.3501,9.5205,4.33496,0.293965459,0.02960564,-0.697271371,0.878922916,0.008986178,-1.044879365,-0.657568074,-0.425758258,-0.158728759,-0.551347416,-1.586317164,-1.877005715,-0.791341014,-1.274964222,-0.964861042,1.321778831,1.036769305,0.932324848,0.926435695,0.246076744,1.706419417,0.850152921,1.486167388,1.3212732,0.950200306,0.348959529,0.303346881,0.5613366,-0.498915467,1.234822568,-0.557301346,-0.198231091,0.102773329,-1.220612168,-2.035215283
MSTRG.30605,Medtr0015s0130,B7FIH3,B7FIH3_MEDTR,25479628,MTR_0015s0130,48215,scaffold0015,65972,69540,.,+,.,actin-97,cluster7,MSTRG.30605,TSS58938,scaffold0015:65971-69540,Medtr0015s0130,cluster7,16.8928,13.3168,4.65945,13.2948,13.2187,8.61756,4.83781,1.077162117,0.958515463,0.963837866,0.64695663,1.596622223,0.628717428,1.125832149,0.568538446,0.877339431,-0.355883807,-0.532723114,-1.095042601,-1.56442362,-1.844243479,-1.371718875,0.437981893,0.693084804,1.128346913,0.709958146,-0.024338719,0.594319999,0.848105848,0.364222074,0.959510053,0.199787822,-1.338544815,-0.458009459,0.658052097,0.513177246,-1.002919115,-1.009422293,-1.618954133,-0.80325647,-1.018194054,-1.512394095
MSTRG.30618,Medtr0018s0220,A0A072TKM7,A0A072TKM7_MEDTR,25479654,MTR_0018s0220,48241,scaffold0018,137458,138329,.,+,.,transmembrane protein putative,cluster5,MSTRG.30618,"TSS58973,TSS58974",scaffold0018:137419-143112,"Medtr0018s0220,Medtr0018s0230",cluster5,1.43028,1.27567,0.475317,4.02355,2.30997,1.77749,1.20901,0.524630007,-0.853468693,-0.893764614,0.870655376,-0.742076945,-0.454447326,-0.437521469,-0.322011715,-0.588704248,0.463566489,-1.635914401,-1.377688687,-0.320842318,-1.720941503,-1.282226046,1.722567482,1.668191439,1.792185677,1.795616557,0.48718994,0.476380186,-0.175099132,0.758135401,1.043575737,0.751739523,0.373487248,0.23856559,-0.742633726,-0.644111569,1.238651577,-0.953186083,0.756758683,-0.149232524,-0.977042165,-0.690983749
MSTRG.30633,Medtr0020s0020,A0A072TKJ1,A0A072TKJ1_MEDTR,25479685,MTR_0020s0020,48272,scaffold0020,8585,11218,.,+,.,heat shock transcription factor B2A,cluster3,MSTRG.30633,"TSS59017,TSS59018,TSS59019",scaffold0020:2867-11218,Medtr0020s0020,cluster3,3.4444,1.1775,56.5944,0.95178,48.6935,55.9737,2.00449,-0.384670553,0.01649348,-1.039926799,-0.526815398,-0.890569457,-0.885193976,-1.187484823,-0.952201062,-1.151514168,-0.528275017,1.147617838,1.180826276,1.028075241,1.13732313,1.1749531,-0.969849834,-0.899828311,-1.0226238,-0.95564571,-0.95977734,1.065940705,1.086922635,0.982651076,0.966295324,1.108878031,1.187402112,1.21562227,0.963362722,1.05239355,1.191107536,-0.886812437,-0.104360687,-1.108903211,-1.05478407,-0.996628372
MSTRG.30636,Medtr0021s0120,A0A072TUX5,A0A072TUX5_MEDTR,25479692,MTR_0021s0120,48279,scaffold0021,44557,46286,.,-,.,hypothetical protein,cluster4,MSTRG.30636,"TSS59033,TSS59034",scaffold0021:44556-48161,Medtr0021s0120,cluster4,99.7653,175.472,69.0577,94.93,144.679,88.125,58.7797,-0.461626448,-0.073168284,1.17789107,-0.961138214,0.550459781,2.445427569,2.249211119,-0.033732261,-0.60380919,0.2365006,-0.485909435,0.729889405,-1.252634501,-1.426371739,-0.912942494,0.872676621,-0.877853005,0.265336759,0.282803726,-0.537326342,1.553650739,-0.350845065,0.687654,1.015429782,1.10111049,-0.314352621,-0.605821796,1.160293203,-1.008689977,-0.204736262,-0.929895701,-0.768165651,-0.2109178,-1.501278572,-0.807119505
MSTRG.30639,Medtr0021s0160,A0A072TKH6,A0A072TKH6_MEDTR,25479695,MTR_0021s0160,48282,scaffold0021,60782,62658,.,+,.,hypothetical protein,cluster3,MSTRG.30639,"TSS59025,TSS59026",scaffold0021:60610-62658,Medtr0021s0160,cluster3,0.361841,0.198527,7.54449,6.09105,1.84951,0.134618,0.481113,-0.084338927,0.096616347,-0.297271815,-0.486263634,-0.535947169,9.68E-05,-0.502415167,-0.43927467,-0.501073428,-0.605508921,-0.138581035,3.714047628,-0.568493208,-0.49064798,0.057308231,-0.375455214,-0.282565112,3.451466029,-0.061959857,-0.230552805,-0.082657594,0.289930968,-0.111826268,-0.359851169,1.850826988,-0.172646769,-0.436982279,-0.605508921,-0.605508921,-0.509337747,-0.455949949,0.308406285,-0.50355479,0.195691222,-0.520217172
MSTRG.30641,Medtr0021s0370,A0A072TJN3,A0A072TJN3_MEDTR,25479704,MTR_0021s0370,48290,scaffold0021,158580,161378,.,+,.,clavaminate synthase-like plant protein,cluster5,MSTRG.30641,TSS59032,scaffold0021:158579-161378,Medtr0021s0370,cluster5,234.048,200.819,81.5713,387.325,449.405,210.926,71.2465,0.786497536,0.157299543,0.020045109,0.837096296,-0.79720784,-0.476941278,0.541439408,0.321204621,-0.037603556,-0.02615522,-1.066519061,-1.61806112,-0.523499028,-1.324310077,-1.387591354,1.249450131,0.684284875,1.261902139,1.124082023,0.608501332,1.541059379,0.766561862,1.265691216,1.217475054,1.195830274,0.314214242,-0.026752228,-0.146427899,-0.50052459,0.845375368,-1.696049316,-1.194535612,-0.759502876,-1.526555562,-1.629773793
MSTRG.30662,Medtr0026s0210,A0A072TK64,A0A072TK64_MEDTR,25479760,MTR_0026s0210,48346,scaffold0026,100050,103446,.,+,.,Non-symbiotic hemoglobin,cluster3,MSTRG.30662,TSS59094,scaffold0026:100049-103446,Medtr0026s0210,cluster3,2.88421,10.6831,9.12951,1.86906,6.21612,2.62384,8.02964,-0.890422625,-1.116875507,-1.243427373,0.783390595,-1.537373374,0.772377119,1.188531408,0.854733484,0.851125794,1.641576224,0.315654308,-0.210549702,2.062461994,0.328643848,0.809583227,-0.448891451,-0.980946905,-1.172032751,-1.076100563,-1.358750484,1.407004096,0.599901327,0.164526078,-1.08588938,-0.309746376,-0.978988399,-1.097331689,0.256292384,-0.726836072,-1.102521873,0.645373693,1.424425075,0.492461935,0.377089234,0.361532702
MSTRG.30667,Medtr0027s0200,A0A072TIA6,A0A072TIA6_MEDTR,25479772,MTR_0027s0200,48358,scaffold0027,65646,67731,.,+,.,hypothetical protein,cluster6,MSTRG.30667,"TSS59107,TSS59108",scaffold0027:64232-67731,Medtr0027s0200,cluster6,3.39782,0.446432,0.21788,1.28706,0.570429,0.100215,0.250524,2.466602202,1.788857683,2.141372149,1.672182468,1.580590465,0.082346416,-0.998027012,-0.107949458,-0.998027012,0.336565936,0.023227791,-0.998027012,-0.998027012,-0.998027012,-0.296511016,0.510607727,0.459514925,0.610892477,1.368429406,0.081071945,-0.609518763,-0.1938591,-0.139549447,-0.308823069,0.567304754,-0.998027012,-0.998027012,-0.855789199,-0.998027012,-0.288131488,-0.799813133,-0.998027012,-0.726972509,-0.302645575,-0.077760476
MSTRG.30665,Medtr0027s0220,A0A072TUQ5,A0A072TUQ5_MEDTR,25479773,MTR_0027s0220,48359,scaffold0027,119940,120533,.,-,.,Ctr family copper transporter,cluster5,MSTRG.30665,TSS59115,scaffold0027:119939-120533,Medtr0027s0220,cluster5,2.62588,4.56425,0.885081,1.16032,3.40691,7.67862,0.784094,-0.071412437,0.243159825,-0.298461281,0.967885415,0.01734589,-0.387338511,2.101668281,0.925712449,0.592937745,-0.543612759,-0.40912891,-1.640583155,-0.382715085,-0.948615699,-0.533951988,-0.616325213,-0.542778246,-0.757466434,-1.076097272,0.132743881,1.541323204,-0.117862481,0.258836338,0.680665844,-0.770971323,0.610546503,1.692674619,2.749985656,0.738082532,0.261852969,-0.569455043,-0.474801371,-1.39250231,-0.340758477,-1.640583155
MSTRG.30670,Medtr0027s0260,Q6XD74,Q6XD74_MEDTR,25479776,"chitIII-3, MTR_0027s0260",48362,scaffold0027,148270,149166,.,+,.,chitinase,cluster5,MSTRG.30670,TSS59110,scaffold0027:148269-149166,Medtr0027s0260,cluster5,9.38697,33.265,0.625308,54.9786,80.8994,101.957,8.7783,-1.010649077,-0.274231641,-0.799768534,0.352527991,-0.711037471,-0.205083919,1.250112632,0.286683011,0.102106619,-1.011839998,-1.306640576,-1.522294477,-1.537012438,-1.617109046,-1.479118753,1.433328774,-0.176073285,0.661791907,0.722830662,0.261073767,1.643842697,-0.329347011,-0.002245492,0.888253993,1.259009826,1.084054182,1.087455219,1.409004864,0.660236113,1.450713121,-0.877261562,0.101598338,0.075923131,-0.887096485,-0.983737082
MSTRG.30675,Medtr0031s0060,A0A072TJ07,A0A072TJ07_MEDTR,25479834,MTR_0031s0060,48419,scaffold0031,39044,44205,.,-,.,amino acid permease,cluster7,MSTRG.30675,"TSS59176,TSS59177",scaffold0031:39043-44205,Medtr0031s0060,cluster7,3.82637,3.72799,4.06378,6.79465,4.55068,1.96746,6.18899,-0.394099552,0.564658102,-0.840314109,-0.280610251,0.674640565,0.683241773,-0.428185242,0.38283588,-0.338514491,-0.718910458,-0.379014613,-0.349745536,0.164911635,-0.487852062,1.171404959,0.702395569,2.155140084,0.805215445,0.44136937,0.364696654,0.667857297,1.317882767,0.710908799,-0.982201864,-1.389101256,-0.671791472,-1.440055596,-0.854427803,-1.122812623,-0.846089761,3.035786983,-1.167281113,-0.395911373,-1.086824478,0.33079777
MSTRG.30687,Medtr0034s0060,A0A072TI08,A0A072TI08_MEDTR,25479851,MTR_0034s0060,48436,scaffold0034,17359,21865,.,+,.,rhamnose biosynthetic-like enzyme,cluster6,MSTRG.30687,"TSS59202,TSS59203",scaffold0034:17358-22286,Medtr0034s0060,cluster6,143.514,101.947,99.7038,304.73,154.842,97.6256,116.594,-0.760528022,0.604231276,-0.334652319,-0.309766139,1.329690619,-0.26546044,-0.889554579,-0.622749428,-0.104684622,-0.595780066,-0.24190198,-1.36408915,-0.088797376,-0.711353062,-0.438710519,0.264992274,3.115245471,2.046493526,1.970111557,0.575844049,0.007904992,0.54754872,1.418083653,-0.13104712,-0.293062547,-1.287093269,-0.524425547,-0.105294019,-0.217444153,-0.933849517,0.895933911,-1.279931331,-0.727257881,-0.639695554,0.091048592
MSTRG.30697,Medtr0036s0050,A0A072TUC7,A0A072TUC7_MEDTR,25479865,MTR_0036s0050,48450,scaffold0036,13446,15057,.,-,.,eukaryotic aspartyl protease family protein,cluster3,MSTRG.30697,TSS59236,scaffold0036:13445-15057,Medtr0036s0050,cluster3,2.50187,1.95783,4.57427,4.15372,1.73058,2.24912,5.75083,-0.821569109,-0.644542546,-1.903525181,0.204530911,1.333635655,-0.324474244,0.712313561,-1.150643188,-0.441016637,-0.943957044,1.306053434,1.227894776,-0.242051777,0.419115256,0.651436135,2.540556259,-0.979920727,-1.027799154,-0.997667443,0.123569196,0.216317805,-0.911584803,-0.850783353,-0.60322325,-0.25876953,-0.409238236,-0.231620326,-0.703993953,-0.352939006,0.663344254,2.008869169,1.116015842,1.092514765,-0.709862501,0.893014992
MSTRG.30725,Medtr0043s0080,A0A072TJP0,A0A072TJP0_MEDTR,25479932,MTR_0043s0080,48515,scaffold0043,50461,55119,.,-,.,hypothetical protein,cluster3,MSTRG.30725,"TSS59303,TSS59304,TSS59305,TSS59306",scaffold0043:50213-88130,"Medtr0043s0080,Medtr0043s0110",cluster3,1.8021,3.03662,5.47269,3.77519,2.69737,3.06655,5.19919,-1.3072496,-1.450275412,-1.248764629,-1.338259091,-0.746495125,0.331130538,-0.713813612,-0.673598207,0.254456228,-0.269556459,0.93132462,0.990758238,0.661727302,1.812939417,1.215694819,0.53593501,0.715083431,0.200032336,0.050291274,-0.11705818,-0.289359739,0.129149917,-1.255452011,-0.923168483,-0.036502765,0.275080034,-0.634506588,-2.282032618,0.095904478,0.836628871,2.551089674,0.018203353,0.10247524,0.302222089,1.275965651
MSTRG.30728,Medtr0045s0060,A0A072THQ4,A0A072THQ4_MEDTR,25479949,MTR_0045s0060,48532,scaffold0045,22594,28397,.,+,.,cytochrome P450 family 90 protein,cluster3,MSTRG.30728,"TSS59323,TSS59324",scaffold0045:22593-29138,Medtr0045s0060,cluster3,43.939,115.461,56.3653,13.9594,70.5204,10.356,79.856,0.099140574,0.160523342,0.138444901,0.967470219,-1.415808536,0.831851785,-0.335786432,1.127426172,0.74378934,1.960246807,-0.007518882,-0.714294241,1.583152132,-0.340569453,-0.335337705,-1.125274562,-0.574789445,-0.515912257,-0.488994829,-1.76087889,0.052250658,0.509454802,1.247688038,1.028115391,-0.268136558,-1.832082802,-2.108351673,-0.394666174,-1.173344738,-0.737455549,0.440963207,1.027413434,0.762539141,1.15944776,0.289285023
MSTRG.30729,Medtr0045s0070,A0A072TIN8,A0A072TIN8_MEDTR,25479950,MTR_0045s0070,48533,scaffold0045,30625,36273,.,+,.,cytochrome P450 family 90 protein,cluster5,MSTRG.30729,TSS59325,scaffold0045:30624-36273,Medtr0045s0070,cluster5,19.0994,30.4192,13.4324,16.9003,48.3904,12.3258,26.1886,0.03153673,-0.160014476,-0.585645492,1.030227986,-1.627023183,0.406410212,-0.447027714,0.892430555,0.351199134,1.481393373,-1.217681241,-1.998088548,0.929484348,-1.709179557,-0.716143673,-0.106228249,-0.11875911,-0.095372966,-0.076120748,-0.777068606,0.817607071,1.428650832,1.770430326,1.678605767,0.923772095,-1.170992586,-1.426828354,-0.127086756,-0.959220742,-0.144585629,0.092478255,0.268378625,0.940251216,0.949376262,-0.52916516
